Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,9.715603,9.846272,9.669485,9.815527,9.310723,2159140
2018-06-27,9.853958,9.953882,9.777095,9.800154,9.296138,1611939
2018-06-28,9.777095,9.777095,9.485012,9.508071,9.019078,1085424
2018-06-29,9.531130,9.546503,9.192929,9.246733,8.771181,1307765
2018-07-02,9.208301,9.277479,8.962337,9.039201,8.574323,1772092
2018-07-03,9.062260,9.285165,9.000769,9.016141,8.552447,816378
2018-07-05,9.062260,9.077633,8.900846,9.039201,8.574323,1406381
2018-07-06,9.016141,9.185242,8.939277,9.093005,8.625360,1108972
2018-07-09,9.108378,9.223674,8.939277,9.023828,8.559738,1247659
2018-07-10,9.016141,9.016141,8.816295,8.847041,8.392043,1040670
2018-07-11,8.793236,8.793236,8.554958,8.570331,8.129565,1223460
2018-07-12,8.593390,8.601076,8.416603,8.531899,8.093111,940233
2018-07-13,8.516526,8.624135,8.408916,8.424289,7.991034,503487
2018-07-16,8.401230,8.431975,8.293620,8.339739,7.910832,628383
2018-07-17,8.362798,8.670254,8.362798,8.401230,7.969161,1037678
2018-07-18,8.416603,8.424289,8.278248,8.339739,7.910832,1001770
2018-07-19,8.332052,8.401230,8.216756,8.216756,7.794175,823533
2018-07-20,8.216756,8.239816,7.993851,8.016910,7.604606,840056
2018-07-23,8.039969,8.162952,7.970792,8.070715,7.655644,681724
2018-07-24,8.070715,8.139892,7.732513,7.786318,7.385873,1123544
2018-07-25,7.763259,7.763259,7.471176,7.586472,7.196305,1585269
2018-07-26,7.555726,7.740200,7.417371,7.548040,7.159850,1460633
2018-07-27,7.509608,7.578786,7.263643,7.271330,6.897370,1326109
2018-07-30,7.279016,7.332821,7.156034,7.225211,6.853624,1221509
2018-07-31,7.225211,7.348194,7.202152,7.279016,6.904662,677951
2018-08-01,7.309762,7.340507,7.125288,7.202152,6.831750,1212402
2018-08-02,7.202152,7.524981,7.179093,7.248271,6.875498,2088495
2018-08-03,7.271330,7.378939,7.194466,7.294389,6.919244,959748
2018-08-06,7.302075,7.302075,7.202152,7.248271,6.875498,521571
2018-08-07,7.263643,7.317448,7.194466,7.217525,6.846334,497893
2018-08-08,7.263643,7.263643,7.125288,7.140661,6.773421,558649
2018-08-09,7.125288,7.440430,7.125288,7.363566,6.984864,1038718
2018-08-10,7.348194,7.440430,7.255957,7.371253,6.992156,962610
2018-08-13,7.371253,7.494235,7.325135,7.471176,7.086939,1223721
2018-08-14,7.501922,7.671022,7.501922,7.540354,7.152559,861002
2018-08-15,7.532667,7.555726,7.455803,7.540354,7.152559,1066560
2018-08-16,7.532667,7.817064,7.455803,7.709454,7.312963,2548139
2018-08-17,7.686395,7.901614,7.678709,7.870869,7.466076,723356
2018-08-20,7.893928,7.970792,7.517294,7.517294,7.130684,1511112
2018-08-21,7.548040,7.724827,7.448117,7.455803,7.072356,1731501
2018-08-22,7.455803,7.555726,7.294389,7.325135,6.948409,1274460
